level,exp,expNext
1,0,83
2,83,91
3,174,102
4,276,112
5,388,124
6,512,138
7,650,151
8,801,168
9,969,185
10,1154,204
11,1358,226
12,1584,249
13,1833,274
14,2107,304
15,2411,335
16,2746,369
17,3115,408
18,3523,450
19,3973,497
20,4470,548
21,5018,606
22,5624,667
23,6291,737
24,7028,814
25,7842,898
26,8740,990
27,9730,1094
28,10824,1207
29,12031,1332
30,13363,1470
31,14833,1623
32,16456,1791
33,18247,1977
34,20224,2182
35,22406,2409
36,24815,2658
37,27473,2935
38,30408,3240
39,33648,3576
40,37224,3947
41,41171,4358
42,45529,4810
43,50339,5310
44,55649,5863
45,61512,6471
46,67983,7144
47,75127,7887
48,83014,8707
49,91721,9612
50,101333,10612
51,111945,11715
52,123660,12934
53,136594,14278
54,150872,15764
55,166636,17404
56,184040,19214
57,203254,21212
58,224466,23420
59,247886,25856
60,273742,28546
61,302288,31516
62,333804,34795
63,368599,38416
64,407015,42413
65,449428,46826
66,496254,51699
67,547953,57079
68,605032,63019
69,668051,69576
70,737627,76818
71,814445,84812
72,899257,93638
73,992895,103383
74,1096278,114143
75,1210421,126022
76,1336443,139138
77,1475581,153619
78,1629200,169608
79,1798808,187260
80,1986068,206750
81,2192818,228269
82,2421087,252027
83,2673114,278259
84,2951373,307221
85,3258594,339198
86,3597792,374502
87,3972294,413482
88,4385776,456519
89,4842295,504037
90,5346332,556499
91,5902831,614422
92,6517253,678376
93,7195629,748985
94,7944614,826944
95,8771558,913019
96,9684577,1008052
97,10692629,1112977
98,11805606,1228825
99,13034431,186965570